description,issue_type
Where can I register for workshops on faculty development?,Enrollment
Can you sign my application for a credit hour overload?,Signature
How do I sign up for faculty training on student engagement?,Enrollment
Bolehkah saya menggunakan papan putih semasa peperiksaan?,Examination
Is there a registration process for faculty advisors?,Enrollment
What happens if I fail to appear for an exam?,Examination
Bolehkah anda berikan salinan transkrip terkini saya?,Transcript
Apakah yang perlu saya lakukan jika saya menghadapi masalah teknikal dengan kursus saya?,Other
How do I join a faculty research group?,Enrollment
Apakah langkah-langkah untuk pendaftaran pelajar baru?,Enrollment
Bolehkah saya mendapatkan transkrip dihantar kepada majikan saya?,Transcript
Bolehkah saya memohon transkrip jika saya belum tamat pengajian?,Transcript
Can I use a laptop during the exam?,Examination
How do I sign up for faculty training on student engagement?,Enrollment
Boleh beri maklumat tentang biasiswa untuk pelajar sarjana?,Scholarship
What scholarships are available for students in their final year?,Scholarship
Tolong tandatangan permohonan untuk perkhidmatan sokongan disabiliti saya.,Signature
Can I request a different exam format if I have a learning disability?,Examination
Can you approve this document for me?,Signature
What’s the exam schedule like?,Examination
How do I get a transcript verification?,Transcript
Would you sign this form for me?,Signature
Adakah biasiswa untuk pelajar yang memerlukan bantuan kewangan?,Scholarship
Can you provide me with my transcript for my internship application?,Transcript
Can I get a transcript mailed to my parent's address?,Transcript
Apakah peraturan untuk memohon biasiswa bagi pelajar dengan kecacatan?,Scholarship
Where do I apply for a faculty research assistant role?,Enrollment
Bagaimana cara saya mendapatkan transkrip yang diubahsuai untuk aplikasi kerja?,Transcript
What time is the exam scheduled?,Examination
Bolehkah anda bantu saya mendapatkan salinan transkrip akademik saya?,Transcript
Bolehkah saya membawa jam tangan pintar ke peperiksaan?,Examination
Bolehkah saya membawa makanan ke dalam bilik peperiksaan?,Examination
Bolehkah saya mendaftar untuk kelas jika sudah lewat?,Enrollment
Can I enroll in a faculty mentorship program as a first-year faculty member?,Enrollment
Bagaimana saya boleh menukar subjek yang telah saya daftar?,Enrollment
Bolehkah anda tandatangan surat penerimaan biasiswa saya?,Signature
Bagaimana saya menyerahkan artikel ke surat khabar pelajar?,Other
Apakah langkah-langkah untuk pendaftaran pelajar baru?,Enrollment
Is there a student help desk for general inquiries?,Other
Could you endorse this letter with your signature?,Signature
Adakah terdapat biasiswa untuk pelajar dengan pengalaman kepimpinan?,Scholarship
Apakah peraturan untuk peperiksaan jarak jauh?,Examination
How do I join a writing group on campus?,Other
Where can I apply for a faculty sabbatical program?,Enrollment
Is there a limit on how many items I can bring into the exam room?,Examination
Can you sign my student fee reduction application?,Signature
How can I get more involved in the local community?,Other
Do I need to bring any ID to the exam?,Examination
Di manakah saya boleh mendapatkan maklumat mengenai pinjaman pelajar?,Other
Can I receive a scholarship if I’m on academic probation?,Scholarship
Can I register for a departmental retreat or faculty event?,Enrollment
Adakah terdapat biasiswa untuk pelajar yang mengejar kerjaya dalam bidang kejururawatan?,Scholarship
Could you help me get a copy of my transcript from last semester?,Transcript
Where can I apply for a faculty sabbatical program?,Enrollment
Bolehkah anda tandatangan borang permohonan kursus musim panas saya?,Signature
Can I apply for a scholarship if I’m a mature student?,Scholarship
Apakah tarikh tutup permohonan biasiswa?,Scholarship
Can you help me find a resource for my project?,Other
Bagaimana saya memohon biasiswa kepelbagaian?,Scholarship
How do I get enrolled in a faculty-led educational research group?,Enrollment
How do I apply for on-campus jobs?,Other
Di manakah saya boleh mendapatkan perkhidmatan kaunseling?,Other
How do I request enrollment in an advanced teaching seminar?,Enrollment
Could you provide me with a transcript summary for my degree program?,Transcript
Are there scholarships for students studying social work?,Scholarship
Can I register for more than one faculty workshop in the same semester?,Enrollment
What is the procedure for enrolling in faculty-led teaching strategies courses?,Enrollment
Where can I find the enrollment policy for faculty workshops?,Enrollment
Can you send me a transcript for my application for residency?,Transcript
Where can I apply for faculty development grants?,Enrollment
Can I get your endorsement for my application to withdraw from a course?,Signature
Can you please sign my re-registration form?,Signature
Are there scholarships for students with disabilities?,Scholarship
Can I join a student-led research project?,Other
Can you sign my health check-up report form?,Signature
Bolehkah saya berehat semasa peperiksaan?,Examination
Could you sign my undergraduate transfer request?,Signature
How do I apply to register for a teaching innovation seminar?,Enrollment
How can I contact the campus tech support?,Other
How do I apply for faculty enrollment in advanced research programs?,Enrollment
Bolehkah anda tandatangan surat permohonan untuk beasiswa saya?,Signature
Would you sign my study-abroad tuition form?,Signature
Apakah cara untuk mendapatkan transkrip rasmi?,Transcript
Where can I find the exam schedule?,Examination
Please let me know if the exam is open-book.,Examination
Are there any scholarships for graduate students?,Scholarship
Tolong tandatangan borang permohonan pekerjaan pelajar saya.,Signature
Where do I submit my course enrollment requests as a faculty member?,Enrollment
Can I apply for a scholarship if I’m an adult learner returning to education?,Scholarship
Saya perlukan transkrip saya untuk permohonan pekerjaan.,Transcript
Apakah prosedur untuk menyerahkan lembaran jawapan peperiksaan saya?,Examination
Adakah terdapat biasiswa untuk pelajar yang mengejar ijazah dalam bidang perniagaan?,Scholarship
What are the requirements for sitting an online exam?,Examination
Is it okay to use a calculator on an open-book exam?,Examination
How can I get my transcript authenticated for international use?,Transcript
What are the steps to sign up for faculty research support programs?,Enrollment
Bolehkah anda hantar transkrip saya jika saya tidak berada di negara ini?,Transcript
Tolong tandatangan permohonan untuk perkhidmatan sokongan disabiliti saya.,Signature
How can I get my transcript if I don’t remember my student ID number?,Transcript
How do I request a change of exam location?,Examination
Can I apply for a scholarship if I’m studying part-time?,Scholarship
What are the steps for enrolling in a faculty-led conference?,Enrollment
Bolehkah anda hantar transkrip saya dalam format PDF?,Transcript
Can I apply for an international exchange program?,Other
How do I apply for the university’s scholarship program?,Scholarship
What’s the best way to network with alumni?,Other
Bolehkah anda tandatangan borang pendaftaran insurans kesihatan saya?,Signature
Can I get my transcript sent directly to my academic advisor?,Transcript
Could you sign my academic deferral form?,Signature
Can I request a transcript for all of my completed courses?,Transcript
Bagaimana saya boleh mendapatkan salinan transkrip saya?,Transcript
Can I request a transcript if I haven’t completed my degree?,Transcript
Bolehkah saya membawa kamus ke dalam peperiksaan?,Examination
Can I pick up my transcript in person?,Transcript
Can you send my transcript to my new school?,Transcript
Apakah peraturan mengenai bercakap semasa peperiksaan?,Examination
What are the steps for enrolling in a faculty-led conference?,Enrollment
Would you sign my course load adjustment request?,Signature
Saya ada soalan rawak yang saya perlukan bantuan.,Other
Bolehkah anda hantar transkrip saya dalam format PDF?,Transcript
How do I sign up for faculty-led online courses?,Enrollment
Bagaimana saya meningkatkan peluang saya untuk menerima biasiswa?,Scholarship
How can I find scholarships for students from my region?,Scholarship
Can I request special accommodations for a disability?,Other
Can I enroll in a faculty-only course offered this semester?,Enrollment
How can I get involved in student government?,Other
Can I leave the exam room during a break?,Examination
Bagaimana saya menghantar permohonan biasiswa?,Scholarship
What should I do if I suspect cheating during the exam?,Examination
Is there an app for students to track campus events?,Other
Can I apply for a scholarship if I’m studying part-time?,Scholarship
Tolong tandatangan borang permohonan kemasukan semula saya.,Signature
How do I get a discount for campus dining services?,Other
What is the best scholarship for a student pursuing a PhD?,Scholarship
Bolehkah saya mendapatkan transkrip rasmi dihantar kepada pemohon beasiswa?,Transcript
How do I register for faculty leadership training?,Enrollment
Can I request my transcript directly from the department?,Transcript
I have questions about the university’s health and safety policies.,Other
Bolehkah saya mendapatkan transkrip untuk kursus yang saya ambil semasa sesi musim panas?,Transcript
Can you sign this letter of recommendation?,Signature
What’s the enrollment process for faculty-student research collaborations?,Enrollment
Bagaimana cara saya untuk mendapatkan transkrip jika saya tidak mempunyai akses ke portal pelajar?,Transcript
How can I apply for a university internship?,Other
Is the exam open-book or closed-book?,Examination
Apa yang berlaku jika saya selesai peperiksaan lebih awal?,Examination
Di manakah saya boleh mengetahui lebih lanjut mengenai program kepimpinan pelajar?,Other
Can you sign my project funding application?,Signature
Can I request a transcript if I have a hold on my student account?,Transcript
Bagaimana saya boleh mendapatkan transkrip sebagai pelajar antarabangsa?,Transcript
Could you sign my academic deferral form?,Signature
Bolehkah saya memohon masa tambahan untuk peperiksaan disebabkan oleh keadaan peribadi?,Examination
Can I request a transcript if I am on a leave of absence?,Transcript
Can I receive a scholarship if I’m on academic probation?,Scholarship
How do I join a faculty research group?,Enrollment
Are there any student-run businesses on campus?,Other
Where do I go to find academic support?,Other
How should I handle exam stress?,Examination
Bagaimana cara untuk mengakses sistem pendaftaran?,Enrollment
Can I enroll in courses that are outside my major?,Enrollment
Can I enroll in a teaching certification program?,Enrollment
Apakah syarat untuk memohon biasiswa?,Scholarship
Apakah prosedur untuk menduduki peperiksaan semula jika saya gagal?,Examination
How do I sign up for faculty training on student engagement?,Enrollment
Di manakah saya boleh mendapatkan lebih banyak maklumat mengenai kelab pelajar?,Other
How do I request enrollment in faculty training for new teaching tools?,Enrollment
What should I do if I am having trouble in a group project?,Other
Could you provide me with a copy of my GPA transcript?,Transcript
Di manakah saya boleh mendapatkan maklumat mengenai aksesibiliti kampus?,Other
Apakah peraturan untuk memohon biasiswa bagi pelajar dengan kecacatan?,Scholarship
Bolehkah saya memohon biasiswa jika saya tidak mempunyai rekod akademik yang luar biasa?,Scholarship
Can you send my transcript to my new school?,Transcript
How do I get enrolled in a faculty-led educational research group?,Enrollment
Are there scholarships for students with disabilities?,Scholarship
Can I get my transcript sent directly to my academic advisor?,Transcript
Can you sign my study permit application?,Signature
Boleh saya dapatkan transkrip akademik saya?,Transcript
Can I register to teach a new course next semester?,Enrollment
Do I need to provide a personal statement for a scholarship application?,Scholarship
What happens if I lose my exam materials during the exam?,Examination
Apakah yang perlu saya lakukan jika saya terlambat ke peperiksaan?,Examination
Bolehkah saya keluar lebih awal dari peperiksaan?,Examination
Can you help me get a copy of my academic transcript?,Transcript
Bolehkah anda tandatangan rayuan status akademik saya?,Signature
What is the procedure for submitting my exam answer sheet?,Examination
Can I meet with a professor to discuss my academic interests?,Other
How can I find out the results of my exam?,Examination
How do I apply for faculty enrollment in advanced research programs?,Enrollment
Bagaimana saya boleh menukar subjek yang telah saya daftar?,Enrollment
Can I obtain a transcript if I have an outstanding balance?,Transcript
Is there a food bank available on campus?,Other
Bagaimana saya boleh mendapatkan salinan soalan peperiksaan saya yang lepas?,Examination
What are the university's policies on online behavior?,Other
Saya perlukan transkrip untuk permohonan latihan industri.,Transcript
Where do I sign up for an academic writing workshop for faculty?,Enrollment
Do I need a recommendation letter for the scholarship?,Scholarship
How can I find out about leadership positions in student organizations?,Other
Can I access health resources as an international student?,Other
How do I sign up for faculty training on student engagement?,Enrollment
Are there scholarships for students with disabilities?,Scholarship
Sila tandatangan borang pengesahan identiti ini.,Signature
Can I use the university’s email for personal purposes?,Other
Can you guide me through the online registration system?,Enrollment
Please sign my doctoral program application form.,Signature
Tolong tandatangan borang pengesahan ini.,Signature
Bolehkah anda tandatangan permohonan perumahan pelajar?,Signature
Can I receive a scholarship if I’m on academic probation?,Scholarship
Perlukah saya menjadi pelajar sepenuh masa untuk memohon biasiswa?,Scholarship
Saya perlukan maklumat am mengenai acara universiti.,Other
How do I access the career counseling services?,Other
Bolehkah saya berehat semasa peperiksaan?,Examination
Can I apply for a scholarship if I have had a gap in my education?,Scholarship
Can international students apply for local scholarships?,Scholarship
Could you please sign my transcript release form?,Signature
Can you send me an official transcript for my application?,Transcript
Can you help me get a copy of my academic transcript?,Transcript
Are there any merit-based scholarships?,Scholarship
What are the requirements for applying for a scholarship?,Scholarship
Are there scholarships for students in the humanities?,Scholarship
Apakah dasar media sosial untuk pelajar?,Other
How do I enroll in a summer program?,Enrollment
What materials are allowed in the exam room?,Examination
How do I apply to be a faculty trainer for new courses?,Enrollment
How do I handle the situation if the exam room is too crowded?,Examination
Can I get a recommendation for a summer program?,Other
Are there scholarships for students who volunteer in the community?,Scholarship
Saya memerlukan tandatangan anda untuk proses ini.,Signature
Di manakah saya boleh mendapatkan lebih banyak maklumat mengenai kelab pelajar?,Other
Berapa kos untuk memohon transkrip?,Transcript
How do I get a transcript verification?,Transcript
Bolehkah saya memohon biasiswa jika saya mempunyai kecacatan?,Scholarship
Bagaimana cara untuk mendaftar kursus dalam talian?,Enrollment
Bolehkah anda tandatangan permohonan pinjaman pelajar saya?,Signature
Bolehkah saya keluar lebih awal dari peperiksaan?,Examination
Can I use a laptop during the exam?,Examination
How can I increase my chances of receiving a scholarship?,Scholarship
Adakah terdapat peraturan tertentu untuk peperiksaan dalam talian?,Examination
Bolehkah pelajar antarabangsa memohon biasiswa?,Scholarship
How can I register for my classes?,Enrollment
Adakah terdapat biasiswa untuk pelajar dengan pencapaian akademik yang cemerlang?,Scholarship
How do I sign up for a faculty program that focuses on diversity and inclusion?,Enrollment
Adakah keperluan kewangan mempengaruhi kelayakan biasiswa?,Scholarship
Can I get help with organizing my academic schedule?,Other
Can I request a transcript if I haven’t completed my degree?,Transcript
Do scholarships for international students cover travel expenses?,Scholarship
How do I get my transcript if I’m currently enrolled?,Transcript
Bagaimana saya tahu jika peperiksaan saya telah ditangguhkan?,Examination
Bolehkah saya memohon biasiswa jika saya sudah menerima bantuan kewangan?,Scholarship
Bagaimana saya memohon biasiswa kepelbagaian?,Scholarship
Would you kindly sign this application?,Signature
What is the scholarship application deadline for next year?,Scholarship
Adakah terdapat biasiswa untuk pelajar pascasiswazah yang mengejar ijazah penyelidikan?,Scholarship
Can I submit an article to the university’s magazine?,Other
Bolehkah saya menduduki peperiksaan semula jika saya gagal pada kali pertama?,Examination
Can I get a scholarship for studying abroad?,Scholarship
Bagaimana saya memohon biasiswa jika saya pelajar antarabangsa?,Scholarship
Would you sign my official letter for the career office?,Signature
Bolehkah saya membawa buku teks yang diterjemah ke peperiksaan?,Examination
Tolong sahkan permohonan ini dengan tandatangan anda.,Signature
What is the application process for a renewable scholarship?,Scholarship
What happens if I fail to appear for an exam?,Examination
Can you sign my petition for credit transfer?,Signature
Adakah terdapat biasiswa untuk pelajar dalam bidang seni?,Scholarship
Can I apply for a scholarship if I already have an undergraduate degree?,Scholarship
Saya ingin berbincang tentang peluang latihan industri.,Other
Adakah saya boleh membawa pengecas untuk peranti elektronik ke dalam bilik peperiksaan?,Examination
Can I enroll in a faculty networking event this semester?,Enrollment
Can I get a letter of recommendation from a professor?,Other
Can you sign my course substitution form?,Signature
Would you sign my travel allowance request form?,Signature
Adakah terdapat bengkel pembangunan diri yang tersedia?,Other
Bolehkah anda berikan saya transkrip tidak rasmi?,Transcript
Where can I get more information about the university’s diversity programs?,Other
Adakah saya boleh memohon perubahan tarikh peperiksaan?,Examination
Would you sign my leave application for medical reasons?,Signature
Bagaimana saya boleh menghubungi jabatan sokongan IT?,Other
Can I register for classes after the deadline?,Enrollment
Berapa lama masa yang diambil untuk mendapatkan transkrip saya?,Transcript
Can you sign my study permit application?,Signature
How do I get a transcript if I am no longer a student?,Transcript
Di manakah saya boleh mendapatkan maklumat mengenai diskaun pelajar tempatan?,Other
Saya ada soalan am mengenai polisi universiti.,Other
What’s the policy for attending guest lectures?,Other
I need a copy of my transcript,Transcript
Bolehkah anda emailkan transkrip saya?,Transcript
Can I register for courses without a student ID?,Enrollment
Can you sign my student fee reduction application?,Signature
What scholarships are available for students pursuing a career in technology?,Scholarship
Can I request a transcript if I haven’t completed my degree?,Transcript
Could you sign my scholarship acceptance letter?,Signature
How do I request a transcript for my study abroad program?,Transcript
Bagaimana cara saya mendapatkan transkrip untuk dihantar ke badan pentauliahan?,Transcript
Are there any leadership training programs for students?,Other
Where can I apply for enrollment in a faculty enrichment program?,Enrollment
Is there an online platform for enrolling in faculty-led courses?,Enrollment
Can I get a copy of my transcript for a professional conference?,Transcript
Bolehkah saya dapatkan tandatangan anda untuk permohonan biasiswa saya?,Signature
Apakah GPA minimum yang diperlukan untuk mendapatkan biasiswa?,Scholarship
How can I get involved in student government?,Other
Bagaimana cara saya menukar kaedah penghantaran untuk transkrip saya?,Transcript
Apakah GPA minimum yang diperlukan untuk mendapatkan biasiswa?,Scholarship
I need your signature for this form.,Signature
Can I apply for a scholarship after my first year?,Scholarship
Could you send my transcript to my personal email?,Transcript
Sudi tak tandatangan permohonan keahlian untuk organisasi pelajar?,Signature
Bolehkah saya membawa rakan ke bilik peperiksaan untuk sokongan?,Examination
Can I apply for a scholarship if I’m from a disadvantaged background?,Scholarship
Are there any scholarships for students with leadership experience?,Scholarship
Adakah terdapat biasiswa untuk pelajar pascasiswazah yang mengejar ijazah penyelidikan?,Scholarship
Bolehkah anda tandatangan borang pengesahan pekerjaan saya selepas graduasi?,Signature
How can I enroll in a faculty course development program?,Enrollment
Can I leave the exam room if I am feeling sick?,Examination
Is there any mentorship program for new students?,Other
Bolehkah anda berikan saya salinan transkrip GPA saya?,Transcript
Apa yang berlaku jika saya terlupa untuk menandatangani senarai kehadiran peperiksaan?,Examination
How do I confirm the exam start time?,Examination
Saya perlukan tandatangan anda untuk permohonan bantuan kewangan saya.,Signature
Can I bring a dictionary into the exam?,Examination
Are there any student-run businesses on campus?,Other
What is the process to enroll in a research seminar?,Enrollment
Tolong tandatangan dokumen rasmi ini.,Signature
How do I enroll in a program to improve my teaching skills?,Enrollment
Can you sign my graduation application form?,Signature
Can you sign my graduation application form?,Signature
How do I join the university’s faculty peer review group?,Enrollment
Where do I submit my enrollment for the annual faculty symposium?,Enrollment
Can I register for an academic conference as a faculty member?,Enrollment
Apakah syarat kelayakan untuk biasiswa ini?,Scholarship
Adakah terdapat biasiswa untuk pelajar yang terlibat dalam sukan?,Scholarship
Bolehkah saya memohon transkrip dalam talian jika saya mempunyai tunggakan?,Transcript
Are there scholarships for students in the social sciences?,Scholarship
How do I get a transcript verification?,Transcript
Perlukah saya menyediakan surat rekomendasi untuk permohonan biasiswa?,Scholarship
What is the maximum amount I can receive for a scholarship?,Scholarship
Bolehkah saya menukar foto ID pelajar saya?,Other
Where can I find information about campus sustainability?,Other
Boleh beri tandatangan pada borang permohonan?,Signature
Can I leave the exam room if I finish early?,Examination
What is the process to register for faculty professional training sessions?,Enrollment
Bagaimana saya menghantar peperiksaan dalam talian?,Examination
Can I access health resources as an international student?,Other
Where can I learn about career workshops?,Other
Can I get help with my writing skills?,Other
Bagaimana cara saya mendapatkan transkrip untuk permohonan fellowship?,Transcript
Adakah terdapat sebarang kesan jika saya tiba selepas peperiksaan bermula?,Examination
Where can I enroll in a faculty workshop for public speaking skills?,Enrollment
Where can I find the course registration portal?,Enrollment
How do I register to be a faculty mentor for graduate students?,Enrollment
How can I sign up for additional faculty responsibilities?,Enrollment
How can I apply for enrollment in a faculty sabbatical program?,Enrollment
Would you kindly sign my proof of enrollment form?,Signature
I require your signature for the official submission.,Signature
Bolehkah saya bercakap dengan pengawas peperiksaan semasa peperiksaan?,Examination
Where can I enroll in a professional development program for teaching?,Enrollment
Can you sign my course substitution form?,Signature
Can I get your signature for my career services application?,Signature
What scholarships are available for students interested in public health?,Scholarship
Bolehkah saya mendaftar untuk kelas jika sudah lewat?,Enrollment
Tolong tandatangan dokumen rasmi ini.,Signature
Tolong beri tandatangan anda di sini.,Signature
Bolehkah anda memberikan lebih banyak maklumat mengenai bantuan kewangan pelajar?,Other
Can I enroll in a faculty-only course offered this semester?,Enrollment
What’s the procedure for adding a course after the semester begins?,Other
How do I apply for an athletic scholarship?,Scholarship
Sudi tak tandatangan borang permohonan penyelidikan saya?,Signature
What should I do if I suspect cheating during the exam?,Examination
Berapa kos untuk memohon transkrip?,Transcript
Bolehkah saya mendapatkan transkrip dihantar ke alamat ibu bapa saya?,Transcript
Can you help me get a copy of my academic transcript?,Transcript
Bolehkah saya memohon transkrip terus dari jabatan?,Transcript
Apa yang berlaku jika saya terlupa untuk menandatangani senarai kehadiran peperiksaan?,Examination
Bagaimana saya menghantar permohonan biasiswa?,Scholarship
How do I register for faculty research conferences?,Enrollment
Can I get your signature for my student ID renewal?,Signature
Apakah peraturan untuk peperiksaan jarak jauh?,Examination
How do I get enrolled in a faculty-led educational research group?,Enrollment
